ID_Club (FK),Nombre_Club,Nombre_Coloquial,Títulos_Primera,Títulos_Internacionales,Afiliación_AFA,Socios,Cuota_Social,Ingresos_Socios,Entradas_Vendidas,Valor_Entradas_Promedio,Ingresos_Entradas,Ingresos_TV,Ingresos_Comerciales,Ingresos_Totales,Sueldo_DT,Sueldos_Plantel,Egresos_Generales,Egresos_Totales,Balance_Anual
1,Club Atletico All Boys,All Boys,,,Si,10000,5000,50000000,24447,1200,29336400,150000000,268353024,497689424,2624133,342815529,133485404,478925066,18764358
2,Asociacion Atletica Argentinos Juniors,Argentinos Juniors,3,2,Si,12932,6000,77592000,55428,1500,83142000,250000000,324715510,735449510,4822391,489557796,282621116,777001303,-41551793
3,Club Atletico Atlanta,Atlanta,1,,Si,3000,5000,15000000,35451,1200,42541200,150000000,251451295,458992495,2731039,335388283,112351498,450470820,8521675
4,Club Atletico Barracas Central,Barracas Central,,,Si,3500,5000,17500000,23711,1200,28453200,150000000,262257467,458210667,2850681,326144371,133765250,462760302,-4549635
5,Club Atletico Boca Juniors,Boca Juniors,48,22,Si,230000,6000,1380000000,50224,1500,75336000,500000000,523974123,2479310123,7629800,754298000,1239872934,2001800734,477509389
6,Club Comunicaciones,Comunicaciones,,,Si,2000,4500,9000000,17320,1000,17320000,50000000,210480671,286800671,1937218,274608795,26658182,303204195,-16403524
7,Club Atletico Defensores de Belgrano,Defensores de Belgrano,,,Si,2200,5000,11000000,34650,1200,41580000,150000000,271980036,474560036,2629237,342794003,129372794,474796034,-235998
8,Club Deportivo Español de Buenos Aires,Deportivo Español,,,Si,2500,4000,10000000,7301,800,5840800,25000000,141542170,182382970,1037093,159337395,9215709,169590197,12792773
9,Club Deportivo Riestra,Riestra,,,Si,1200,5000,6000000,31596,1200,37915200,150000000,263631783,457546983,2643420,332944434,116800271,452388125,5158858
10,Club Ferro Carril Oeste,Ferro,2,,Si,14501,5000,72505000,39890,1200,47868000,150000000,263103094,533476094,2606548,335812066,118471262,456889876,76586218
11,Club Atletico Huracan,Huracán,13,,Si,19839,6000,119034000,55670,1500,83505000,250000000,318373011,770912011,3537074,490084937,290975407,784597418,-13685407
12,Club Atletico Nueva Chicago,Nueva Chicago,1,,Si,10500,5000,52500000,34930,1200,41916000,150000000,269934869,514350869,2640703,340831292,112963079,461624183,52726686
13,Club Atletico River Plate,River Plate,49,18,Si,100366,6000,602196000,77439,1500,116158500,500000000,523974123,1742328623,7829812,765128020,1459823934,2232781766,-490453143
14,Sacachispas Futbol Club,Sacachispas,,,Si,1000,4500,4500000,12526,1000,12526000,50000000,220119914,287145914,1776878,263752663,27245699,292775240,-5629326
15,Club Atletico San Lorenzo de Almagro,San Lorenzo,17,5,Si,80000,6000,480000000,48573,1500,72859500,350000000,315098273,1217957773,6987230,687290372,724506929,1418784531,-200826758
16,Club Atletico Velez Sarsfield,Velez,11,5,Si,43500,6000,261000000,44250,1500,66375000,350000000,316277036,993652036,4703095,488118988,329130364,821952447,171699589
17,Club Atletico Deportivo Paraguayo,Deportivo Paraguayo,,,Si,1700,3500,5950000,5828,600,3496800,10000000,96506339,115953139,616671,82343968,8674704,91635343,24317796
18,Club Atletico Excursionistas,Excursionistas,,,Si,1500,4000,6000000,9314,800,7451200,25000000,138131392,176582592,1016847,164934476,11263835,177215158,-632566
19,Club Atletico General Lamadrid,General Lamadrid,,,Si,3000,4000,12000000,9309,800,7447200,25000000,130004525,174451725,1149409,151516551,11624889,164290849,10160876
